# Time started: Wed Jan 25 10:43:33 2017
# Simulation using 256 cells
# Format: time(tau)	 cellID	 cellType	 x	 y	 z
0.000000	1	H	-0.006581	0.003016	-0.003060
0.000000	2	H	0.002237	0.005034	0.007308
0.000000	3	H	-0.005542	0.010157	-0.007324
0.000000	4	H	0.006682	0.011427	-0.000623
0.000000	5	H	0.000317	0.006439	0.007955
0.000000	6	H	0.002408	-0.009446	-0.008498
0.000000	7	H	0.008499	0.002156	0.011024
0.000000	8	H	-0.008772	0.004994	0.000464
0.000000	9	H	-0.001999	0.008241	0.003629
0.000000	10	H	0.010021	0.005589	0.007974
0.000000	11	H	-0.003745	-0.001501	-0.007067
0.000000	12	H	-0.004125	0.007620	0.006853
0.000000	13	H	0.008257	0.002714	0.011244
0.000000	14	H	-0.000510	-0.004044	0.009865
0.000000	15	H	-0.001972	-0.005121	0.007641
0.000000	16	H	-0.003120	0.000757	-0.013551
0.000000	17	H	-0.004086	0.007630	0.001346
0.000000	18	H	0.002993	-0.007059	0.000456
0.000000	19	H	-0.005373	0.007546	-0.009683
0.000000	20	H	0.006538	0.004174	-0.006498
0.000000	21	H	-0.003812	0.008238	0.004346
0.000000	22	H	0.011210	-0.000266	-0.000066
0.000000	23	H	-0.009638	-0.000062	-0.002951
0.000000	24	H	0.006486	0.002770	-0.006319
0.000000	25	H	-0.008727	-0.009611	-0.000143
0.000000	26	H	0.007967	-0.005669	-0.009973
0.000000	27	H	-0.007518	-0.001426	0.011881
0.000000	28	H	0.004219	0.012861	-0.000883
0.000000	29	H	-0.010334	-0.007850	0.002685
0.000000	30	H	0.003873	-0.002450	0.012323
0.000000	31	H	0.002638	-0.000300	-0.013846
0.000000	32	H	0.000640	0.007902	-0.009000
0.000000	33	H	0.000513	0.007504	0.004900
0.000000	34	H	-0.005427	0.005985	-0.000790
0.000000	35	H	-0.001789	-0.007921	-0.008530
0.000000	36	H	-0.010229	-0.007982	0.003386
0.000000	37	H	-0.011845	-0.000925	0.004012
0.000000	38	H	0.000383	0.000181	-0.007400
0.000000	39	H	-0.002047	-0.009166	-0.007626
0.000000	40	H	0.008816	-0.005172	0.000904
0.000000	41	H	0.002346	-0.005364	0.010200
0.000000	42	H	0.011733	0.003803	0.001825
0.000000	43	H	0.010420	0.007581	0.003782
0.000000	44	H	-0.002213	0.000270	-0.003809
0.000000	45	H	0.006985	0.001291	-0.005504
0.000000	46	H	-0.002515	0.006203	-0.010704
0.000000	47	H	0.002370	-0.009822	-0.008164
0.000000	48	H	0.003700	-0.006411	-0.000375
0.000000	49	H	-0.010814	-0.001969	0.007758
0.000000	50	H	0.005687	0.000988	-0.005926
0.000000	51	H	-0.010892	-0.005623	-0.000286
0.000000	52	H	-0.001281	-0.001989	0.009251
0.000000	53	H	-0.000289	-0.007588	-0.009297
0.000000	54	H	0.008544	0.002532	0.010967
0.000000	55	H	-0.008654	-0.008042	-0.002821
0.000000	56	H	0.007708	-0.006562	0.002407
0.000000	57	H	0.006484	-0.002427	-0.003479
0.000000	58	H	-0.007675	0.003335	0.009857
0.000000	59	H	-0.002781	-0.000478	-0.006009
0.000000	60	H	0.001929	0.013934	0.000311
0.000000	61	H	-0.001859	-0.006403	0.003764
0.000000	62	H	-0.011658	0.000212	0.004337
0.000000	63	H	-0.002861	0.012018	-0.005613
0.000000	64	H	-0.002746	-0.005253	0.005709
0.000000	65	H	0.001479	0.008213	-0.008497
0.000000	66	H	-0.006516	-0.000460	-0.005309
0.000000	67	H	0.010433	-0.003534	0.004506
0.000000	68	H	0.002980	-0.004689	-0.001320
0.000000	69	H	-0.006684	0.001023	-0.004358
0.000000	70	H	-0.007861	-0.010720	0.004476
0.000000	71	H	-0.007180	0.006958	0.004672
0.000000	72	H	-0.005858	0.002777	-0.003283
0.000000	73	H	-0.008411	0.005408	0.006531
0.000000	74	H	0.005597	-0.002682	0.011653
0.000000	75	H	0.003468	-0.010535	-0.007406
0.000000	76	H	-0.009875	-0.007682	-0.000687
0.000000	77	H	0.007470	-0.006736	0.004853
0.000000	78	H	-0.004458	0.004852	-0.001727
0.000000	79	H	0.011777	0.003474	0.003913
0.000000	80	H	0.006733	0.007512	-0.005514
0.000000	81	H	-0.002269	-0.012007	-0.004511
0.000000	82	H	0.010120	-0.004179	0.003591
0.000000	83	H	-0.002197	0.006552	0.008913
0.000000	84	H	-0.004237	0.004308	-0.002009
0.000000	85	H	-0.003914	0.007123	0.007940
0.000000	86	H	0.001838	0.004055	-0.009595
0.000000	87	H	-0.005513	0.002100	-0.003716
0.000000	88	H	0.008114	-0.000619	-0.003955
0.000000	89	H	0.001874	0.013902	0.000031
0.000000	90	H	0.002468	0.000932	-0.007028
0.000000	91	H	0.008522	-0.007832	-0.008085
0.000000	92	H	-0.011769	-0.003755	0.002196
0.000000	93	H	0.006080	-0.007567	0.004539
0.000000	94	H	0.000864	0.002927	0.009904
0.000000	95	H	0.007462	-0.003115	-0.002708
0.000000	96	H	-0.005852	0.007600	0.002661
0.000000	97	H	0.009638	-0.001190	-0.002307
0.000000	98	H	0.002466	0.004704	0.007200
0.000000	99	H	0.008902	0.009866	0.002751
0.000000	100	H	0.001722	0.007857	-0.008594
0.000000	101	H	0.009751	0.008076	-0.000367
0.000000	102	H	0.001962	-0.012460	-0.004982
0.000000	103	H	-0.006484	0.000764	0.012101
0.000000	104	H	0.003768	-0.000248	0.013521
0.000000	105	H	0.005454	-0.002022	-0.003762
0.000000	106	H	0.005987	-0.004019	-0.002419
0.000000	107	H	-0.002246	-0.005848	0.006101
0.000000	108	H	-0.002423	0.000740	-0.003040
0.000000	109	H	0.009697	0.008049	-0.000589
0.000000	110	H	0.003225	0.004009	0.004277
0.000000	111	H	-0.007495	0.006366	0.001231
0.000000	112	H	0.001709	-0.001644	0.012694
0.000000	113	H	-0.011187	-0.003759	-0.000697
0.000000	114	H	-0.001941	-0.001705	-0.008590
0.000000	115	H	0.000788	0.004765	0.009211
0.000000	116	H	-0.001267	0.005491	0.009838
0.000000	117	H	-0.006784	-0.001773	-0.005812
0.000000	118	H	0.001113	-0.000068	-0.003017
0.000000	119	H	-0.000965	-0.012957	-0.003505
0.000000	120	H	0.006203	0.000863	0.012736
0.000000	121	H	-0.008470	-0.009811	-0.000418
0.000000	122	H	-0.005158	0.002281	0.012066
0.000000	123	H	0.005040	0.011644	-0.002808
0.000000	124	H	-0.006466	0.000580	-0.004695
0.000000	125	H	0.010425	-0.001441	0.007460
0.000000	126	H	-0.011143	0.000896	0.000246
0.000000	127	H	-0.007497	0.007076	-0.009267
0.000000	128	H	-0.001734	0.006995	0.008216
0.000000	130	C	-0.006658	-0.002790	-0.006215
0.000000	131	C	-0.007960	-0.009883	-0.001518
0.000000	132	C	-0.001511	-0.000475	-0.006642
0.000000	133	C	0.005039	-0.007450	0.006663
0.000000	134	C	0.001789	0.003615	0.008715
0.000000	135	C	-0.003182	0.008166	0.002797
0.000000	136	C	0.001520	0.000764	0.001732
0.000000	137	C	0.002114	-0.000726	0.013491
0.000000	138	C	-0.002434	0.008268	0.003520
0.000000	139	C	0.001853	0.002477	0.001503
0.000000	140	C	0.000212	0.013197	-0.003291
0.000000	141	C	-0.000402	0.006800	0.007951
0.000000	142	C	-0.009780	-0.005176	-0.003012
0.000000	143	C	-0.004153	0.003710	-0.002313
0.000000	144	C	-0.008944	0.007147	-0.008369
0.000000	145	C	0.001759	0.010816	-0.006284
0.000000	146	C	-0.006606	0.006547	0.000547
0.000000	147	C	0.005628	0.006986	-0.006677
0.000000	148	C	0.009180	0.007110	-0.002812
0.000000	149	C	-0.009574	0.002732	0.008016
0.000000	150	C	-0.002784	0.008297	0.004619
0.000000	151	C	-0.000021	-0.007751	0.004327
0.000000	152	C	-0.008625	-0.004307	-0.004699
0.000000	153	C	0.006852	-0.002277	-0.003505
0.000000	154	C	0.003510	0.001627	-0.007307
0.000000	155	C	-0.007322	0.006937	0.003532
0.000000	156	C	0.002910	-0.008126	0.002624
0.000000	157	C	-0.002790	0.003123	-0.001818
0.000000	158	C	-0.011569	-0.000077	0.005159
0.000000	159	C	0.007656	-0.001421	0.010998
0.000000	160	C	-0.011080	0.000940	0.000098
0.000000	161	C	-0.010267	-0.003782	0.008456
0.000000	162	C	-0.001226	-0.011504	-0.005703
0.000000	163	C	-0.008592	0.002325	-0.002584
0.000000	164	C	0.001436	-0.005835	-0.010694
0.000000	165	C	0.007357	-0.000481	-0.004439
0.000000	166	C	-0.009335	0.004667	0.005903
0.000000	167	C	-0.011722	-0.002600	0.000876
0.000000	168	C	0.000804	-0.008442	-0.009072
0.000000	169	C	-0.002458	-0.005756	0.004097
0.000000	170	C	0.009227	-0.003587	0.007753
0.000000	171	C	-0.000474	-0.006455	0.007799
0.000000	172	C	-0.000298	-0.002317	-0.010817
0.000000	173	C	0.003352	0.011837	-0.004066
0.000000	174	C	0.005921	-0.003369	-0.002882
0.000000	175	C	-0.001512	-0.001378	0.001311
0.000000	176	C	-0.002732	0.008237	0.003190
0.000000	177	C	-0.005884	-0.012361	0.003648
